iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2020-01-03,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
AFG,Asia,Afghanistan,2020-01-04,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
AFG,Asia,Afghanistan,2020-01-05,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
AFG,Asia,Afghanistan,2020-01-06,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
BHS,North America,Bahamas,2022-03-09,33180.0,4.0,4.857,771.0,0.0,0.0,80929.001,9.756,11.847,1880.538,0.0,0.0,0.71,,,,,,,,,223187.0,178.0,547.153,0.436,302.0,0.74,0.0142,70.5,tests performed,331157.0,164099.0,155124.0,23368.0,,260.0,80.77,40.03,37.84,5.7,634.0,74.0,0.018,62.96,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHS,North America,Bahamas,2022-03-17,33209.0,3.0,3.429,777.0,4.0,0.857,80999.734,7.317,8.363,1895.173,9.756,2.091,0.82,,,,,,,,,,,,,213.0,0.522,0.0121,82.8,tests performed,,,,,,196.0,,,,,478.0,59.0,0.014,62.96,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHS,North America,Bahamas,2022-03-18,33211.0,2.0,3.286,786.0,9.0,2.143,81004.612,4.878,8.014,1917.125,21.952,5.227,0.84,,,,,,,,,,,,,215.0,0.527,0.0133,75.3,tests performed,,,,,,193.0,,,,,471.0,57.0,0.014,62.96,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHS,North America,Bahamas,2022-03-29,33254.0,0.0,3.429,788.0,0.0,0.143,81109.493,0.0,8.363,1922.003,0.0,0.348,0.94,,,,,,,,,,,,,206.0,0.505,0.016,62.7,tests performed,,,,,,256.0,,,,,624.0,69.0,0.017,55.56,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHS,North America,Bahamas,2022-03-30,33258.0,4.0,3.286,788.0,0.0,0.143,81119.25,9.756,8.014,1922.003,0.0,0.348,0.95,,,,,,,,,227658.0,,558.114,,210.0,0.515,0.0136,73.5,tests performed,335729.0,165385.0,156615.0,25164.0,,276.0,81.89,40.34,38.2,6.14,673.0,74.0,0.018,55.56,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHS,North America,Bahamas,2022-03-31,33278.0,20.0,5.714,788.0,0.0,0.143,81168.031,48.782,13.938,1922.003,0.0,0.348,0.96,,,,,,,,,228225.0,567.0,559.504,1.39,264.0,0.647,0.0222,45.1,tests performed,,,,,,274.0,,,,,668.0,73.0,0.018,55.56,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
